constraint_name,source_table,source_column,target_table,target_column,delete_rule,update_rule
,redcap_actions,survey_id,redcap_surveys,survey_id,CASCADE,CASCADE
,redcap_ai_log,user_id,redcap_user_information,ui_id,SET NULL,CASCADE
,redcap_alerts,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_alerts_recurrence,event_id,redcap_events_metadata,event_id,CASCADE,CASCADE
,redcap_alerts_sent,event_id,redcap_events_metadata,event_id,CASCADE,CASCADE
,redcap_alerts_sent_log,alert_sent_id,redcap_alerts_sent,alert_sent_id,CASCADE,CASCADE
,redcap_auth,password_question,redcap_auth_questions,qid,SET NULL,CASCADE
,redcap_cache,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_cde_field_mapping,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_crons,external_module_id,redcap_external_modules,external_module_id,CASCADE,CASCADE
,redcap_crons_datediff,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_crons_history,cron_id,redcap_crons,cron_id,SET NULL,CASCADE
,redcap_custom_queries_folders_items,qid,redcap_custom_queries,qid,CASCADE,CASCADE
,redcap_data_access_groups,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_data_access_groups_users,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_data_dictionaries,ui_id,redcap_user_information,ui_id,SET NULL,CASCADE
,redcap_data_import,user_id,redcap_user_information,ui_id,SET NULL,CASCADE
,redcap_data_import_rows,import_id,redcap_data_import,import_id,CASCADE,CASCADE
,redcap_data_quality_resolutions,user_id,redcap_user_information,ui_id,SET NULL,CASCADE
,redcap_data_quality_rules,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_data_quality_status,rule_id,redcap_data_quality_rules,rule_id,CASCADE,CASCADE
,redcap_ddp_log_view,user_id,redcap_user_information,ui_id,SET NULL,CASCADE
,redcap_ddp_log_view_data,ml_id,redcap_ddp_log_view,ml_id,CASCADE,CASCADE
,redcap_ddp_mapping,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_ddp_preview_fields,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_ddp_records,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_ddp_records_data,mr_id,redcap_ddp_records,mr_id,CASCADE,CASCADE
,redcap_descriptive_popups,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_docs,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_docs_attachments,docs_id,redcap_docs,docs_id,CASCADE,CASCADE
,redcap_docs_folders,role_id,redcap_user_roles,role_id,CASCADE,CASCADE
,redcap_docs_folders_files,folder_id,redcap_docs_folders,folder_id,CASCADE,CASCADE
,redcap_docs_share,docs_id,redcap_docs,docs_id,CASCADE,CASCADE
,redcap_docs_to_edocs,docs_id,redcap_docs,docs_id,CASCADE,CASCADE
,redcap_econsent,survey_id,redcap_surveys,survey_id,CASCADE,CASCADE
,redcap_econsent_forms,uploader,redcap_user_information,ui_id,SET NULL,CASCADE
,redcap_edocs_data_mapping,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_edocs_metadata,project_id,redcap_projects,project_id,SET NULL,CASCADE
,redcap_ehr_access_tokens,token_owner,redcap_user_information,ui_id,CASCADE,CASCADE
,redcap_ehr_datamart_revisions,user_id,redcap_user_information,ui_id,CASCADE,CASCADE
,redcap_ehr_fhir_logs,user_id,redcap_user_information,ui_id,CASCADE,CASCADE
,redcap_ehr_import_counts,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_ehr_resource_import_details,ehr_import_count_id,redcap_ehr_resource_imports,id,CASCADE,CASCADE
,redcap_ehr_resource_imports,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_ehr_token_rules,user_id,redcap_user_information,ui_id,CASCADE,CASCADE
,redcap_ehr_user_map,ehr_id,redcap_ehr_settings,ehr_id,SET NULL,CASCADE
,redcap_ehr_user_projects,redcap_userid,redcap_user_information,ui_id,CASCADE,CASCADE
,redcap_email_users_messages,sent_by,redcap_user_information,ui_id,CASCADE,CASCADE
,redcap_error_log,log_view_id,redcap_log_view,log_view_id,CASCADE,CASCADE
,redcap_esignatures,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_events_arms,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_events_calendar,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_events_calendar_feed,userid,redcap_user_information,ui_id,CASCADE,CASCADE
,redcap_events_forms,event_id,redcap_events_metadata,event_id,CASCADE,CASCADE
,redcap_events_metadata,arm_id,redcap_events_arms,arm_id,CASCADE,CASCADE
,redcap_events_repeat,event_id,redcap_events_metadata,event_id,CASCADE,CASCADE
,redcap_external_links,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_external_links_dags,group_id,redcap_data_access_groups,group_id,CASCADE,CASCADE
,redcap_external_links_exclude_projects,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_external_links_users,ext_id,redcap_external_links,ext_id,CASCADE,CASCADE
,redcap_external_module_settings,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_external_modules_log_parameters,log_id,redcap_external_modules_log,log_id,CASCADE,CASCADE
,redcap_folders,ui_id,redcap_user_information,ui_id,CASCADE,CASCADE
,redcap_folders_projects,ui_id,redcap_user_information,ui_id,CASCADE,CASCADE
,redcap_form_display_logic_conditions,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_form_display_logic_targets,event_id,redcap_events_metadata,event_id,CASCADE,CASCADE
,redcap_forms,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_forms_temp,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_instrument_zip,iza_id,redcap_instrument_zip_authors,iza_id,CASCADE,CASCADE
,redcap_library_map,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_locking_data,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_locking_labels,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_locking_records,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_locking_records_pdf_archive,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_log_view_requests,ui_id,redcap_user_information,ui_id,SET NULL,CASCADE
,redcap_messages,thread_id,redcap_messages_threads,thread_id,CASCADE,CASCADE
,redcap_messages_recipients,thread_id,redcap_messages_threads,thread_id,CASCADE,CASCADE
,redcap_messages_status,recipient_user_id,redcap_user_information,ui_id,CASCADE,CASCADE
