table,column,definition
redcap_actions,action_id,"int(10) NOT NULL AUTO_INCREMENT,"
redcap_actions,project_id,"int(10) DEFAULT NULL,"
redcap_actions,survey_id,"int(10) DEFAULT NULL,"
redcap_actions,action_trigger,"enum('MANUAL','ENDOFSURVEY','SURVEYQUESTION') COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_actions,action_response,"enum('NONE','EMAIL_PRIMARY','EMAIL_SECONDARY','EMAIL_TERTIARY','STOPSURVEY','PROMPT') COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_actions,custom_text,"text COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_actions,recipient_id,"int(10) DEFAULT NULL COMMENT 'FK user_information',"
redcap_ai_log,ai_id,"int(11) NOT NULL AUTO_INCREMENT,"
redcap_ai_log,ts,"datetime DEFAULT NULL,"
redcap_ai_log,service,"varchar(100) COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_ai_log,type,"varchar(100) COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_ai_log,project_id,"int(11) DEFAULT NULL,"
redcap_ai_log,user_id,"int(11) DEFAULT NULL,"
redcap_ai_log,num_chars_sent,"int(11) DEFAULT NULL,"
redcap_ai_log,num_words_sent,"int(11) DEFAULT NULL,"
redcap_ai_log,num_chars_received,"int(11) DEFAULT NULL,"
redcap_ai_log,num_words_received,"int(11) DEFAULT NULL,"
redcap_alerts,alert_id,"int(10) NOT NULL AUTO_INCREMENT,"
redcap_alerts,project_id,"int(10) DEFAULT NULL,"
redcap_alerts,alert_title,"varchar(100) COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_alerts,alert_type,"enum('EMAIL','SMS','VOICE_CALL','SENDGRID_TEMPLATE') COLLATE utf8mb4_unicode_ci NOT NULL DEFAULT 'EMAIL',"
redcap_alerts,alert_stop_type,"enum('RECORD','RECORD_EVENT','RECORD_EVENT_INSTRUMENT','RECORD_INSTRUMENT','RECORD_EVENT_INSTRUMENT_INSTANCE') COLLATE utf8mb4_unicode_ci NOT NULL DEFAULT 'RECORD_EVENT_INSTRUMENT_INSTANCE',"
redcap_alerts,email_deleted,"tinyint(1) NOT NULL DEFAULT '0',"
redcap_alerts,alert_expiration,"datetime DEFAULT NULL,"
redcap_alerts,form_name,"varchar(255) COLLATE utf8mb4_unicode_ci DEFAULT NULL COMMENT 'Instrument Name',"
redcap_alerts,form_name_event,"int(10) DEFAULT NULL COMMENT 'Event ID',"
redcap_alerts,alert_condition,"text COLLATE utf8mb4_unicode_ci DEFAULT NULL COMMENT 'Conditional logic',"
redcap_alerts,ensure_logic_still_true,"tinyint(1) NOT NULL DEFAULT '0',"
redcap_alerts,do_not_clear_recurrences,"tinyint(1) NOT NULL DEFAULT '0',"
redcap_alerts,prevent_piping_identifiers,"tinyint(1) NOT NULL DEFAULT '1',"
redcap_alerts,email_incomplete,"tinyint(1) DEFAULT '0' COMMENT 'Send alert for any form status?',"
redcap_alerts,email_from,"varchar(191) COLLATE utf8mb4_unicode_ci DEFAULT NULL COMMENT 'Email From',"
redcap_alerts,email_from_display,"varchar(150) COLLATE utf8mb4_unicode_ci DEFAULT NULL COMMENT 'Email sender display name',"
redcap_alerts,email_to,"text COLLATE utf8mb4_unicode_ci DEFAULT NULL COMMENT 'Email To',"
redcap_alerts,phone_number_to,"text COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_alerts,email_cc,"text COLLATE utf8mb4_unicode_ci DEFAULT NULL COMMENT 'Email CC',"
redcap_alerts,email_bcc,"text COLLATE utf8mb4_unicode_ci DEFAULT NULL COMMENT 'Email BCC',"
redcap_alerts,email_subject,"varchar(255) COLLATE utf8mb4_unicode_ci DEFAULT NULL COMMENT 'Subject',"
redcap_alerts,alert_message,"text COLLATE utf8mb4_unicode_ci DEFAULT NULL COMMENT 'Message',"
redcap_alerts,email_failed,"varchar(255) COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_alerts,email_attachment_variable,"text COLLATE utf8mb4_unicode_ci DEFAULT NULL COMMENT 'REDCap file variables',"
redcap_alerts,email_attachment1,"int(10) DEFAULT NULL,"
redcap_alerts,email_attachment2,"int(10) DEFAULT NULL,"
redcap_alerts,email_attachment3,"int(10) DEFAULT NULL,"
redcap_alerts,email_attachment4,"int(10) DEFAULT NULL,"
redcap_alerts,email_attachment5,"int(10) DEFAULT NULL,"
redcap_alerts,email_repetitive,"tinyint(1) NOT NULL DEFAULT '0' COMMENT 'Re-send alert on form re-save?',"
redcap_alerts,email_repetitive_change,"tinyint(1) NOT NULL DEFAULT '0' COMMENT 'Re-send alert on form re-save if data has been added or modified?',"
redcap_alerts,email_repetitive_change_calcs,"tinyint(1) NOT NULL DEFAULT '0' COMMENT 'Include calc fields for email_repetitive_change?',"
redcap_alerts,cron_send_email_on,"enum('now','date','time_lag','next_occurrence') COLLATE utf8mb4_unicode_ci DEFAULT 'now' COMMENT 'When to send alert',"
redcap_alerts,cron_send_email_on_date,"datetime DEFAULT NULL COMMENT 'Exact time to send',"
redcap_alerts,cron_send_email_on_time_lag_days,"int(4) DEFAULT NULL,"
redcap_alerts,cron_send_email_on_time_lag_hours,"int(3) DEFAULT NULL,"
redcap_alerts,cron_send_email_on_time_lag_minutes,"int(3) DEFAULT NULL,"
redcap_alerts,cron_send_email_on_field,"varchar(255) COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_alerts,cron_send_email_on_field_after,"enum('before','after') COLLATE utf8mb4_unicode_ci NOT NULL DEFAULT 'after',"
redcap_alerts,cron_send_email_on_next_day_type,"enum('DAY','WEEKDAY','WEEKENDDAY','SUNDAY','MONDAY','TUESDAY','WEDNESDAY','THURSDAY','FRIDAY','SATURDAY') COLLATE utf8mb4_unicode_ci NOT NULL DEFAULT 'DAY',"
redcap_alerts,cron_send_email_on_next_time,"time DEFAULT NULL,"
redcap_alerts,cron_repeat_for,"float NOT NULL DEFAULT '0' COMMENT 'Repeat every # of days',"
redcap_alerts,cron_repeat_for_units,"enum('DAYS','HOURS','MINUTES') COLLATE utf8mb4_unicode_ci NOT NULL DEFAULT 'DAYS',"
redcap_alerts,cron_repeat_for_max,"smallint(4) DEFAULT NULL,"
redcap_alerts,email_timestamp_sent,"datetime DEFAULT NULL COMMENT 'Time last alert was sent',"
redcap_alerts,email_sent,"tinyint(1) NOT NULL DEFAULT '0' COMMENT 'Has at least one alert been sent?',"
redcap_alerts,alert_order,"int(10) DEFAULT NULL,"
redcap_alerts,sendgrid_template_id,"text COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_alerts,sendgrid_template_data,"text COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_alerts,sendgrid_mail_send_configuration,"text COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_alerts_recurrence,aq_id,"int(10) NOT NULL AUTO_INCREMENT,"
redcap_alerts_recurrence,alert_id,"int(10) DEFAULT NULL,"
redcap_alerts_recurrence,creation_date,"datetime DEFAULT NULL,"
redcap_alerts_recurrence,record,"varchar(100) COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_alerts_recurrence,event_id,"int(10) DEFAULT NULL,"
redcap_alerts_recurrence,instrument,"varchar(100) COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_alerts_recurrence,instance,"smallint(4) DEFAULT NULL,"
redcap_alerts_recurrence,send_option,"enum('now','date','time_lag','next_occurrence') COLLATE utf8mb4_unicode_ci NOT NULL DEFAULT 'now',"
redcap_alerts_recurrence,times_sent,"smallint(4) DEFAULT NULL,"
redcap_alerts_recurrence,last_sent,"datetime DEFAULT NULL,"
redcap_alerts_recurrence,status,"enum('IDLE','QUEUED','SENDING') COLLATE utf8mb4_unicode_ci NOT NULL DEFAULT 'IDLE',"
redcap_alerts_recurrence,first_send_time,"datetime DEFAULT NULL,"
redcap_alerts_recurrence,next_send_time,"datetime DEFAULT NULL,"
redcap_alerts_sent,alert_sent_id,"int(10) NOT NULL AUTO_INCREMENT,"
redcap_alerts_sent,alert_id,"int(10) NOT NULL,"
redcap_alerts_sent,record,"varchar(100) COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_alerts_sent,event_id,"int(10) DEFAULT NULL,"
redcap_alerts_sent,instrument,"varchar(100) COLLATE utf8mb4_unicode_ci DEFAULT NULL,"
redcap_alerts_sent,instance,"smallint(4) DEFAULT '1',"
redcap_alerts_sent,last_sent,"datetime DEFAULT NULL,"
redcap_alerts_sent_log,alert_sent_log_id,"int(10) NOT NULL AUTO_INCREMENT,"
redcap_alerts_sent_log,alert_sent_id,"int(10) DEFAULT NULL,"
